batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1394,0.4196634774,0.7033308931,0.6104252401,0.2904133685,0.9119344063,0.0000000000,0.0032723773,1.0000000000,1.0000000000,0.6358000000,0.9192137121,0.4115002667,0.5813049114,0.8345570240,0
1395,0.3965687892,0.6961932650,0.4993141289,0.2935795954,0.8970543577,0.0000000000,0.0038498556,1.0000000000,1.0000000000,0.5330000000,0.9095049742,0.3659614457,0.5463296366,0.8167727199,0
1396,0.3899703068,0.6705710102,0.4869684499,0.2904133685,0.8584877012,0.0000000000,0.0026948989,1.0000000000,1.0000000000,0.5206000000,0.8766630708,0.3562593656,0.5529910221,0.7906673193,0
1397,0.4500164962,0.7163250366,0.7078189300,0.2962181179,0.9289401761,0.0000000000,0.0038498556,1.0000000000,1.0000000000,0.7283600000,0.9358743857,0.4517816778,0.6012170531,0.8611519008,0
1398,0.4711316397,0.7080893119,0.8024691358,0.2955145119,0.9167931977,0.0000000000,0.0026948989,1.0000000000,1.0000000000,0.8162800000,0.9258060650,0.5650064765,0.6181165682,0.8642519171,0
1399,0.4853183768,0.7137628111,0.8299039781,0.3018469657,0.9222593380,0.0000000000,0.0026948989,1.0000000000,1.0000000000,0.8436800000,0.9333573055,0.4945013080,0.6163161938,0.8763256649,0
1400,0.4453975586,0.6943631040,0.7050754458,0.2914687775,0.8991800790,0.0000000000,0.0025024062,1.0000000000,1.0000000000,0.7248400000,0.9079467817,0.4444924187,0.5880383120,0.8392886278,0
1401,0.4635433850,0.7122986823,0.7517146776,0.2995602463,0.9210446401,0.0000000000,0.0026948989,1.0000000000,1.0000000000,0.7700400000,0.9313196692,0.4626520712,0.6069302415,0.8642519171,0
1402,0.4671725503,0.7064421669,0.7805212620,0.2967458223,0.9128454297,0.0000000000,0.0028873917,1.0000000000,1.0000000000,0.7961200000,0.9235287067,0.4662332055,0.5970161794,0.8608255833,0
1403,0.4506763444,0.7152269400,0.7037037037,0.2965699208,0.9265107804,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.7249200000,0.9338367494,0.4509435400,0.6072303039,0.8604992658,0
1404,0.3846915210,0.6780746706,0.4622770919,0.2907651715,0.8660795627,0.0000000000,0.0057747834,1.0000000000,1.0000000000,0.4977200000,0.8845738943,0.3484113479,0.5298742138,0.7947462881,0
1405,0.3619267568,0.7002196193,0.3511659808,0.2934036939,0.9010021257,0.0000000000,0.0063522618,1.0000000000,1.0000000000,0.3950000000,0.9132206640,0.3113554974,0.5229967833,0.8032305433,0
1406,0.3606070604,0.6870424597,0.3497942387,0.2897097625,0.8846037048,0.0000000000,0.0063522618,1.0000000000,1.0000000000,0.3934800000,0.8959606856,0.3159779544,0.5548033991,0.7908304781,0
1407,0.3820521280,0.6883235725,0.4334705075,0.2953386104,0.8797449135,0.0000000000,0.0053897979,1.0000000000,1.0000000000,0.4718800000,0.8982380439,0.3290325858,0.5083537376,0.8025779083,0
1408,0.3645661498,0.6733162518,0.3854595336,0.2891820580,0.8621317947,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.4256400000,0.8794198729,0.3078759556,0.7080032647,0.7805514766,0
1409,0.3408116133,0.7174231332,0.2674897119,0.2946350044,0.9331916186,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.3166800000,0.9383914659,0.2881924161,0.5226127034,0.8081253059,0
1410,0.3648960739,0.6703879941,0.3868312757,0.2891820580,0.8603097480,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.4269200000,0.8767829318,0.3179844056,0.4916822699,0.7781040953,0
1411,0.3817222039,0.7119326501,0.4307270233,0.2951627089,0.9234740358,0.0000000000,0.0028873917,1.0000000000,1.0000000000,0.4694000000,0.9307203644,0.3372615752,0.5347352249,0.8234622287,0
1412,0.4503464203,0.7229136164,0.6872427984,0.2997361478,0.9401761312,0.0000000000,0.0028873917,1.0000000000,1.0000000000,0.7104400000,0.9451036797,0.4364920123,0.5944836526,0.8671887747,0
1413,0.4665127021,0.7009516837,0.7777777778,0.2932277924,0.9082903128,0.0000000000,0.0038498556,1.0000000000,1.0000000000,0.7935600000,0.9157377442,0.4734462703,0.5967041145,0.8556045032,0
1414,0.3698449357,0.7055270864,0.3936899863,0.2888302551,0.9183115700,0.0000000000,0.0046198268,1.0000000000,1.0000000000,0.4341200000,0.9212513484,0.3546592843,0.5831412934,0.8118779573,0
1415,0.4335202903,0.6983894583,0.6570644719,0.2930518909,0.8991800790,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.6799600000,0.9117823325,0.4277550606,0.5843655480,0.8370044053,0
1416,0.4298911250,0.6991215227,0.6447187929,0.2900615655,0.9067719405,0.0000000000,0.0036573628,1.0000000000,1.0000000000,0.6682400000,0.9135802469,0.4090112514,0.5652095636,0.8358622940,0
1417,0.4246123392,0.7406661786,0.6117969822,0.2963940193,0.9647737625,0.0000000000,0.0051973051,1.0000000000,1.0000000000,0.6382000000,0.9669183747,0.3937723821,0.5802486917,0.8702887910,0
1418,0.4232926427,0.6949121523,0.5240054870,0.2833773087,0.9067719405,0.0000000000,0.0196342637,1.0000000000,1.0000000000,0.5610800000,0.9081865037,0.3968455541,0.5544313217,0.8288464676,0
1419,0.3385021445,0.6874084919,0.2798353909,0.2879507476,0.8903735196,0.0000000000,0.0019249278,1.0000000000,1.0000000000,0.3269200000,0.8991969316,0.2959388413,0.5176076624,0.7802251591,0
1420,0.3606070604,0.6729502196,0.3689986283,0.2890061566,0.8633464926,0.0000000000,0.0030798845,1.0000000000,1.0000000000,0.4102800000,0.8795397339,0.3156223808,0.5059172308,0.7782672540,0
1421,0.3398218410,0.6950951684,0.2880658436,0.2883025506,0.9016094746,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.3344400000,0.9091453913,0.3000279379,0.5265975323,0.7877304617,0
1422,0.3711646321,0.6888726208,0.4046639232,0.2914687775,0.8858184027,0.0000000000,0.0040423484,1.0000000000,1.0000000000,0.4440400000,0.8997962364,0.3272801158,0.5251332277,0.7976831457,0
1423,0.3823820521,0.6594070278,0.4705075446,0.2860158311,0.8433039781,0.0000000000,0.0032723773,1.0000000000,1.0000000000,0.5043200000,0.8618003116,0.3558275976,0.5267655672,0.7769619840,0
1424,0.3483998680,0.6938140556,0.3155006859,0.2902374670,0.8961433343,0.0000000000,0.0032723773,1.0000000000,1.0000000000,0.3605200000,0.9067481721,0.3058695045,0.5214124538,0.7908304781,0
1425,0.3705047839,0.6734992679,0.4128943759,0.2883025506,0.8648648649,0.0000000000,0.0030798845,1.0000000000,1.0000000000,0.4510800000,0.8802588997,0.3330200899,0.5210763839,0.7836514929,0
1426,0.5090729132,0.7232796486,0.9574759945,0.2944591029,0.9432128758,0.0000000000,0.0034648701,1.0000000000,1.0000000000,0.9610800000,0.9452235407,0.5270362939,0.6384728023,0.8965573503,0
1427,0.4546354339,0.6864934114,0.7544581619,0.2891820580,0.8867294261,0.0000000000,0.0030798845,1.0000000000,1.0000000000,0.7702400000,0.8973990171,0.4671729358,0.5956959047,0.8368412465,0
1428,0.4839986803,0.6802708638,0.8792866941,0.2897097625,0.8764044944,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.8866000000,0.8897279156,0.5664541691,0.6801214653,0.8458149780,0
