batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1415,0.4497939306,1.5591438346,2.8559465499,0.1055239312,2.4626678365,-0.2487921565,-0.2048421096,0.1614974456,0.1490711985,2.7155147271,1.8403102456,0.5196967013,1.4735647103,1.2279852079,0
1416,0.4390879992,1.5617853687,2.7907643720,0.0972315166,2.4884263968,-0.2487921565,-0.2118050304,0.1614974456,0.1490711985,2.6531453909,1.8458005415,0.4595801406,1.3947307886,1.2249403821,0
1417,0.4235157354,1.7116924319,2.6169452309,0.1147919239,2.6852217974,-0.2487921565,-0.2025211360,0.1614974456,0.1490711985,2.4932840548,2.0086793190,0.4107048881,1.4566223324,1.3167201336,0
1418,0.4196226695,1.5465965473,2.1534275216,0.0786955312,2.4884263968,-0.2487921565,-0.1154846253,0.1614974456,0.1490711985,2.0828810508,1.8293296538,0.4205613974,1.3503743590,1.2062364516,0
1419,0.1694931822,1.5195208223,0.8642688923,0.0913780475,2.4327879066,-0.2487921565,-0.2222494117,0.1614974456,0.1490711985,0.8367715149,1.8018781745,0.0969257668,1.1988314570,1.0766138642,0
1420,0.2347020369,1.4673505228,1.3350290659,0.0943047821,2.3410874320,-0.2487921565,-0.2152864909,0.1614974456,0.1490711985,1.2803814010,1.7418509396,0.1600563013,1.1507210312,1.0713941627,0
1421,0.1733862481,1.5472569309,0.9077236776,0.0923536257,2.4709105758,-0.2487921565,-0.2210889249,0.1614974456,0.1490711985,0.8767900651,1.8322578116,0.1100406262,1.2358280781,1.0966227200,0
1422,0.2658465645,1.5248038906,1.5233331354,0.1011338294,2.4173327704,-0.2487921565,-0.2094840568,0.1614974456,0.1490711985,1.4600391475,1.8037082731,0.1974458695,1.2298019262,1.1231562026,0
1423,0.2989376250,1.4184821409,1.8709714174,0.0860123675,2.2730848328,-0.2487921565,-0.2141260041,0.1614974456,0.1490711985,1.7808261428,1.6876800203,0.2890055093,1.2365196038,1.0679143617,0
1424,0.1986911768,1.5426342461,1.0525729618,0.0977193057,2.4523644124,-0.2487921565,-0.2141260041,0.1614974456,0.1490711985,1.0155778030,1.8249374171,0.1287761397,1.2144895730,1.1048872474,0
