batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
262,191,331,62,126,313,0,21,512,8,8968,2576,0.002975,0.0052179999999999995,522,0
263,257,547,56,170,507,0,71,512,8,8772,4332,0.004364,0.009492,804,0
264,103,175,29,60,169,0,20,512,8,4296,1376,0.001503,0.002576,278,0
265,134,306,25,85,289,0,41,512,8,4072,2416,0.0017159999999999999,0.004024,440,0
266,220,405,63,137,378,0,47,512,8,9320,3144,0.002778,0.005445999999999999,625,0
267,200,369,62,139,332,0,36,512,8,9036,2840,0.0026349999999999998,0.005056,569,0
268,192,323,64,128,316,0,7,512,8,9216,2556,0.0030220000000000004,0.005038000000000001,515,0
269,193,332,64,128,310,0,23,512,8,9220,2568,0.002545,0.004437,525,0
270,146,264,46,96,248,0,20,512,8,6688,2052,0.001933,0.0035269999999999998,410,0
271,82,2853,34,87,139,11,2664,512,8,4736,4153,0.0010810000000000001,0.05051300000000001,2935,0
272,179,4064,50,158,335,12,3688,512,8,7428,6921,0.0024439999999999996,0.075091,4243,0
273,120,3914,48,128,188,11,3659,512,8,6716,5662,0.001787,0.07338700000000001,4034,0
274,120,3875,52,126,187,16,3614,512,8,7200,5638,0.0016709999999999997,0.06952900000000001,3995,0
275,128,3827,56,131,204,17,3547,512,8,7744,5740,0.0018410000000000002,0.070815,3955,0
276,82,2002,24,69,149,10,1832,512,8,3536,3285,0.0010590000000000003,0.032346,2084,0
277,155,269,51,103,253,0,17,512,8,7360,2084,0.002532,0.004451,424,0
278,186,322,62,124,309,0,13,512,8,8928,2524,0.003229,0.005391,508,0
279,192,334,62,128,320,0,16,512,8,8972,2620,0.0032960000000000003,0.005707,526,0
280,332,683,63,195,650,0,107,512,8,10212,5424,0.004893,0.010138000000000001,1015,0
281,216,403,63,134,375,0,47,512,8,9284,3108,0.0030719999999999996,0.006031999999999999,619,0
282,42,77,14,28,70,0,7,512,8,2016,588,0.000551,0.0010890000000000003,119,0
283,29,50,9,20,50,0,0,512,8,1312,400,0.0003489999999999999,0.000587,79,0
284,189,315,63,126,315,0,0,512,8,9072,2520,0.002284,0.0037479999999999996,504,0
285,210,376,64,144,364,0,14,512,8,9360,3008,0.002757,0.004966999999999999,586,0
286,192,320,64,128,320,0,0,512,8,9216,2560,0.002792,0.0046630000000000005,512,0
287,189,315,63,126,315,0,0,512,8,9072,2520,0.002509999999999999,0.0041389999999999995,504,0
288,183,305,61,122,305,0,0,512,8,8784,2440,0.002199,0.0036589999999999995,488,0
289,182,319,60,122,300,0,19,512,8,8656,2476,0.0023699999999999997,0.0042959999999999995,501,0
290,191,340,63,128,314,0,26,512,8,9088,2616,0.0024419999999999997,0.00439,531,0
291,188,333,63,126,306,0,26,512,8,9064,2560,0.002273,0.004183999999999999,521,0
292,192,334,64,128,317,0,17,512,8,9216,2604,0.002512,0.004411,526,0
293,192,334,64,128,318,0,16,512,8,9216,2608,0.002593,0.0053739999999999994,526,0
294,33,59,11,22,55,0,4,512,8,1584,456,0.000472,0.000861,92,0
295,164,275,54,110,275,0,0,512,8,7792,2200,0.002235,0.003692,439,0
296,183,305,61,122,305,0,0,512,8,8784,2440,0.002414,0.003941999999999999,488,0
297,180,300,60,120,300,0,0,512,8,8640,2400,0.002706,0.004428,480,0
